gene	num_common_functional	total_coding_variants
F2RL3	3	872
FAM187B	8	665
FAM209B	3	265
FAM32A	0	171
FAM3B	2	352
FARSA	5	833
FBL	2	540
FBXL12	2	605
FBXO17	1	643
FBXO27	2	599
FBXO46	1	1204
FBXW9	2	427
FCGRT	3	713
FERMT1	6	1061
FFAR1	1	51
FITM2	1	423
FIZ1	2	1057
FKRP	4	1162
FNDC11	1	630
FOSB	0	604
FOXA3	0	601
FPR1	7	621
FPR2	1	564
FPR3	1	496
FSD1	2	873
FUZ	4	868
FXYD7	0	130
GADD45B	0	280
GALP	2	241
GAMT	1	175
GAPDHS	1	263
GARRE1	4	1767
GART	2	660
GCDH	0	795
GDAP1L1	1	581
GDF15	3	706
GDF5	2	969
GET3	0	296
GGT7	2	1045
GID8	0	294
GINS1	1	362
GMIP	11	1740
GNA11	0	501
GNA15	2	781
GNG7	0	121
GP6	13	1251
GPATCH1	6	1545
GPCPD1	3	790
GPI	1	844
GPR108	8	1060
GPR32	1	668
GPR4	0	599
GPX4	3	558
GRAMD1A	4	1245
GRIK1	1	1634
GRIN3B	29	2701
GRWD1	4	897
GSK3A	0	774
GTF2F1	0	760
GTPBP3	1	323
GTSF1L	2	245
GZF1	2	1167
GZMM	7	564
HACL2	6	1199
HAMP	2	171
HAO1	2	696
HAPLN4	1	851
HAUS5	4	1164
HAUS8	4	749
HCST	0	177
HEMK2	4	408
HIPK4	5	1108
HNF4A	1	790
HNRNPL	0	755
HNRNPM	0	1223
HRC	9	1112
HSD17B14	1	342
HSF2BP	0	482
HSPA12B	2	532
HSPA13	1	679
HSPB6	0	378
HUNK	3	1132
ICAM1	6	839
ICAM3	5	1090
ICAM5	2	1617
IDH3B	0	234
IFI30	1	236
IFNAR1	3	917
IFNGR2	6	550
IFNL1	2	395
IFT52	1	696
IGFL1	2	225
IGFL2	3	207
IGFL3	2	222
IGFL4	2	196
IGFLR1	6	750
IGLON5	0	272
IGSF23	1	319
IGSF5	11	733
IL10RB	2	508
IL11	2	480
IL12RB1	2	338
IL27RA	4	1136
INSL3	3	282
INSR	3	2109
IQCN	19	1963
IRF2BP1	1	1063
IRGC	3	898
ISM1	3	800
ITPA	1	280
